date,amount,description,category,account
2023-01-01,1000.00,Monthly Revenue,Income,Business Account
2023-01-15,-250.75,Office Supplies,Expense,Business Account
2023-02-01,1500.00,Service Income,Income,Business Account
2023-02-15,-340.50,Utility Bill,Expense,Business Account
2023-03-01,-125.00,Internet Bill,Expense,Business Account
2023-03-15,2000.00,Project Payment,Income,Business Account
2023-04-01,-450.00,Equipment Purchase,Expense,Business Account
2023-04-15,1200.00,Consulting Fee,Income,Business Account
2023-05-01,-200.00,Software Subscription,Expense,Business Account
2023-05-15,1800.00,Client Retainer,Income,Business Account
